Drug,geneName,log2FoldChange,padj no NA,pvalue
Enzalutamide,PADI2,-0.114787547,1,0.723207862
Enzalutamide,PADI1,-0.002026217,1,0.996557604
Enzalutamide,PADI3,1.857871043,1,0.587254199
Enzalutamide,PADI6,-0.954645845,1,0.840455494
Enzalutamide,RCC2,-0.002817507,1,0.981189157
Enzalutamide,ARHGEF10L,-0.068271191,1,0.721755939
Enzalutamide,ACTL8,-0.080668783,1,0.890111905
Enzalutamide,IGSF21,0,1,1
Enzalutamide,KLHDC7A,2.880788656,1,0.127033566
Enzalutamide,PAX7,1.828076577,1,0.548761183
Enzalutamide,ALDH4A1,-0.187416474,1,0.585437572
Enzalutamide,IFFO2,-0.044918002,1,0.695787325
Enzalutamide,AL137127.1,-0.270864426,1,0.791679049
Enzalutamide,UBR4,0.019712128,1,0.911588492
Enzalutamide,AL035413.1,0.419760081,1,0.522013501
Enzalutamide,EMC1,-0.002316259,1,0.989017704
Enzalutamide,MRTO4,-0.086761363,1,0.756443236
Enzalutamide,AKR7L,-0.005485546,1,0.983973568
Enzalutamide,AKR7A3,-0.87430369,1,0.150229088
Enzalutamide,AL035413.2,-0.046036882,1,0.904083013
Enzalutamide,AKR7A2,-0.130092622,1,0.723107724
Enzalutamide,RNU6-1099P,0.542794006,1,0.770959456
Enzalutamide,PQLC2,-0.12100054,1,0.51616306
Enzalutamide,CAPZB,-0.086930444,1,0.723464651
Enzalutamide,MINOS1,-0.030290295,1,0.857732167
Enzalutamide,NBL1,-1.661611306,0.144961191,0.00082905
Enzalutamide,AL031727.1,-0.132272891,1,0.825765035
Enzalutamide,HTR6,-0.826963173,1,0.204380117
Enzalutamide,TMCO4,-0.061505079,1,0.778558036
Enzalutamide,OTUD3,0.26590759,1,0.601962846
Enzalutamide,PLA2G2A,0.154364149,1,0.45936038
Enzalutamide,PLA2G5,-0.297726176,1,0.389284224
Enzalutamide,PLA2G2F,0.429509467,1,0.618387407
Enzalutamide,Z98257.1,0.897000838,1,0.68948656
Enzalutamide,UBXN10,0.799319935,1,0.452998226
Enzalutamide,Z98257.2,0.969284244,1,0.622204691
Enzalutamide,VWA5B1,0.700278569,1,0.201195718
Enzalutamide,LINC01141,0.399831957,1,0.790040009
Enzalutamide,CAMK2N1,0.312141607,0.005045481,1.61E-05
Enzalutamide,MUL1,-0.003713175,1,0.989527293
Enzalutamide,FAM43B,-0.895125296,1,0.74621953
Enzalutamide,CDA,-2.439520774,1,0.312199763
Enzalutamide,PINK1,-0.047235061,1,0.831124343
Enzalutamide,PINK1-AS,-0.142091298,1,0.433747234
Enzalutamide,DDOST,-0.063952785,1,0.800050626
Enzalutamide,KIF17,0.387168877,1,0.444813116
Enzalutamide,SH2D5,-0.323390251,1,0.5509156
Enzalutamide,HP1BP3,0.03485204,1,0.857943315
Enzalutamide,EIF4G3,-0.132026463,1,0.716590726
Enzalutamide,ECE1,-0.053610477,1,0.845383917
Enzalutamide,PPP1R11P1,0.007140036,1,0.998790896
Enzalutamide,NBPF2P,-0.673075916,1,0.234558214
Enzalutamide,HS6ST1P1,-0.163745109,1,0.458744959
Enzalutamide,NBPF3,0.213010843,1,0.351678055
Enzalutamide,ALPL,0.33047937,1,0.686737633
Enzalutamide,RAP1GAP,0.058745786,1,0.856566392
Enzalutamide,USP48,0.017538313,1,0.962962611
Enzalutamide,HSPG2,0.063566402,1,0.867302155
Enzalutamide,AL590556.1,0.010003393,1,0.990923792
Enzalutamide,AL590556.2,1.80973912,1,0.199199832
Enzalutamide,CELA3B,-1.473807613,1,0.665575751
Enzalutamide,LINC01635,0.500442321,1,0.630872579
Enzalutamide,LINC00339,0.226401701,1,0.57574899
Enzalutamide,AL031281.2,-0.433827609,1,0.751113199
Enzalutamide,AL031281.3,-0.890709076,1,0.293045483
Enzalutamide,CDC42,-0.08685903,1,0.847029696
Enzalutamide,WNT4,0.074927156,1,0.798955358
Enzalutamide,AL445253.1,0.51957089,1,0.411489539
Enzalutamide,ZBTB40,-0.05568224,1,0.402712461
Enzalutamide,ZBTB40-IT1,0.601912233,1,0.739789295
Enzalutamide,EPHA8,-0.869421013,1,0.306903647
Enzalutamide,EPHB2,-0.116729813,1,0.537875698
Enzalutamide,TEX46,-0.575200318,1,0.507830752
Enzalutamide,KDM1A,-0.111581982,1,0.308154844
Enzalutamide,LUZP1,-0.146642001,1,0.302097207
Enzalutamide,HTR1D,0,1,1
Enzalutamide,AL109936.1,0.816642858,1,0.767785068
Enzalutamide,LINC01355,1.461571897,1,0.156310668
Enzalutamide,AL109936.6,2.837331917,1,0.115740293
Enzalutamide,HNRNPR,0.030914442,1,0.940400278
Enzalutamide,ZNF436,0.025129364,1,0.850601389
Enzalutamide,ZNF436-AS1,-0.160869424,1,0.641213658
Enzalutamide,AL109936.2,-0.882775299,1,0.719138233
Enzalutamide,TCEA3,0.091302514,1,0.706506241
Enzalutamide,ASAP3,0.103764988,1,0.638300517
Enzalutamide,E2F2,-0.087020045,1,0.762415535
Enzalutamide,AL021154.1,-2.000931726,1,0.111656013
Enzalutamide,ID3,0.431762548,1,0.117409647
Enzalutamide,RPL11,0.011774615,1,0.891749904
Enzalutamide,ELOA,-0.043356295,1,0.693593688
Enzalutamide,ELOA-AS1,0.582916232,1,0.10452687
Enzalutamide,PITHD1,-0.123006014,1,0.170186016
Enzalutamide,LYPLA2,-0.155161286,1,0.633209703
Enzalutamide,GALE,-0.043708647,1,0.868965653
Enzalutamide,HMGCL,0.012254418,1,0.962214765
Enzalutamide,FUCA1,0.037773578,1,0.66089923
Enzalutamide,BTBD6P1,0.065101292,1,0.972757232
Enzalutamide,AL590609.2,0,1,1
Enzalutamide,PNRC2,0.258010491,1,0.623730171
Enzalutamide,SRSF10,0.063957969,1,0.888417508
