perturbation_id,compound_id,compound_name,smiles,gene_symbol,regulation_label
BRD-FBDF768A_TBCAP2_LNCaP,BRD-FBDF768A,Enzalutamide,CC1(C)C(=O)N(c2ccc(C#N)cc2C(F)(F)F)C(=S)N1c3ccc(C(=O)NC)cc3F,TBCAP2,down
BRD-FBDF768A_FHAD1_LNCaP,BRD-FBDF768A,Enzalutamide,CC1(C)C(=O)N(c2ccc(C#N)cc2C(F)(F)F)C(=S)N1c3ccc(C(=O)NC)cc3F,FHAD1,up
BRD-FBDF768A_AL031283.2_LNCaP,BRD-FBDF768A,Enzalutamide,CC1(C)C(=O)N(c2ccc(C#N)cc2C(F)(F)F)C(=S)N1c3ccc(C(=O)NC)cc3F,AL031283.2,down
BRD-FBDF768A_CELA2B_LNCaP,BRD-FBDF768A,Enzalutamide,CC1(C)C(=O)N(c2ccc(C#N)cc2C(F)(F)F)C(=S)N1c3ccc(C(=O)NC)cc3F,CELA2B,down
BRD-FBDF768A_AL121992.2_LNCaP,BRD-FBDF768A,Enzalutamide,CC1(C)C(=O)N(c2ccc(C#N)cc2C(F)(F)F)C(=S)N1c3ccc(C(=O)NC)cc3F,AL121992.2,down
BRD-FBDF768A_AL450998.2_LNCaP,BRD-FBDF768A,Enzalutamide,CC1(C)C(=O)N(c2ccc(C#N)cc2C(F)(F)F)C(=S)N1c3ccc(C(=O)NC)cc3F,AL450998.2,down
BRD-FBDF768A_SLC25A34_LNCaP,BRD-FBDF768A,Enzalutamide,CC1(C)C(=O)N(c2ccc(C#N)cc2C(F)(F)F)C(=S)N1c3ccc(C(=O)NC)cc3F,SLC25A34,up
BRD-FBDF768A_AL355994.2_LNCaP,BRD-FBDF768A,Enzalutamide,CC1(C)C(=O)N(c2ccc(C#N)cc2C(F)(F)F)C(=S)N1c3ccc(C(=O)NC)cc3F,AL355994.2,down
BRD-FBDF768A_FAM131C_LNCaP,BRD-FBDF768A,Enzalutamide,CC1(C)C(=O)N(c2ccc(C#N)cc2C(F)(F)F)C(=S)N1c3ccc(C(=O)NC)cc3F,FAM131C,down
BRD-FBDF768A_AL451042.1_LNCaP,BRD-FBDF768A,Enzalutamide,CC1(C)C(=O)N(c2ccc(C#N)cc2C(F)(F)F)C(=S)N1c3ccc(C(=O)NC)cc3F,AL451042.1,up
BRD-FBDF768A_ANO7L1_LNCaP,BRD-FBDF768A,Enzalutamide,CC1(C)C(=O)N(c2ccc(C#N)cc2C(F)(F)F)C(=S)N1c3ccc(C(=O)NC)cc3F,ANO7L1,down
BRD-FBDF768A_MT1XP1_LNCaP,BRD-FBDF768A,Enzalutamide,CC1(C)C(=O)N(c2ccc(C#N)cc2C(F)(F)F)C(=S)N1c3ccc(C(=O)NC)cc3F,MT1XP1,up
BRD-FBDF768A_RPL22P3_LNCaP,BRD-FBDF768A,Enzalutamide,CC1(C)C(=O)N(c2ccc(C#N)cc2C(F)(F)F)C(=S)N1c3ccc(C(=O)NC)cc3F,RPL22P3,down
BRD-FBDF768A_RNU1-1_LNCaP,BRD-FBDF768A,Enzalutamide,CC1(C)C(=O)N(c2ccc(C#N)cc2C(F)(F)F)C(=S)N1c3ccc(C(=O)NC)cc3F,RNU1-1,up
BRD-FBDF768A_LINC01783_LNCaP,BRD-FBDF768A,Enzalutamide,CC1(C)C(=O)N(c2ccc(C#N)cc2C(F)(F)F)C(=S)N1c3ccc(C(=O)NC)cc3F,LINC01783,down
BRD-FBDF768A_MST1P2_LNCaP,BRD-FBDF768A,Enzalutamide,CC1(C)C(=O)N(c2ccc(C#N)cc2C(F)(F)F)C(=S)N1c3ccc(C(=O)NC)cc3F,MST1P2,up
BRD-FBDF768A_RNU1-3_LNCaP,BRD-FBDF768A,Enzalutamide,CC1(C)C(=O)N(c2ccc(C#N)cc2C(F)(F)F)C(=S)N1c3ccc(C(=O)NC)cc3F,RNU1-3,up
BRD-FBDF768A_ESPNP_LNCaP,BRD-FBDF768A,Enzalutamide,CC1(C)C(=O)N(c2ccc(C#N)cc2C(F)(F)F)C(=S)N1c3ccc(C(=O)NC)cc3F,ESPNP,up
BRD-FBDF768A_RNU1-4_LNCaP,BRD-FBDF768A,Enzalutamide,CC1(C)C(=O)N(c2ccc(C#N)cc2C(F)(F)F)C(=S)N1c3ccc(C(=O)NC)cc3F,RNU1-4,up
BRD-FBDF768A_MST1L_LNCaP,BRD-FBDF768A,Enzalutamide,CC1(C)C(=O)N(c2ccc(C#N)cc2C(F)(F)F)C(=S)N1c3ccc(C(=O)NC)cc3F,MST1L,up
BRD-FBDF768A_RNU1-2_LNCaP,BRD-FBDF768A,Enzalutamide,CC1(C)C(=O)N(c2ccc(C#N)cc2C(F)(F)F)C(=S)N1c3ccc(C(=O)NC)cc3F,RNU1-2,up
BRD-FBDF768A_PADI3_LNCaP,BRD-FBDF768A,Enzalutamide,CC1(C)C(=O)N(c2ccc(C#N)cc2C(F)(F)F)C(=S)N1c3ccc(C(=O)NC)cc3F,PADI3,up
BRD-FBDF768A_PADI6_LNCaP,BRD-FBDF768A,Enzalutamide,CC1(C)C(=O)N(c2ccc(C#N)cc2C(F)(F)F)C(=S)N1c3ccc(C(=O)NC)cc3F,PADI6,down
BRD-FBDF768A_KLHDC7A_LNCaP,BRD-FBDF768A,Enzalutamide,CC1(C)C(=O)N(c2ccc(C#N)cc2C(F)(F)F)C(=S)N1c3ccc(C(=O)NC)cc3F,KLHDC7A,up
BRD-FBDF768A_PAX7_LNCaP,BRD-FBDF768A,Enzalutamide,CC1(C)C(=O)N(c2ccc(C#N)cc2C(F)(F)F)C(=S)N1c3ccc(C(=O)NC)cc3F,PAX7,up
BRD-FBDF768A_AKR7A3_LNCaP,BRD-FBDF768A,Enzalutamide,CC1(C)C(=O)N(c2ccc(C#N)cc2C(F)(F)F)C(=S)N1c3ccc(C(=O)NC)cc3F,AKR7A3,down
BRD-FBDF768A_RNU6-1099P_LNCaP,BRD-FBDF768A,Enzalutamide,CC1(C)C(=O)N(c2ccc(C#N)cc2C(F)(F)F)C(=S)N1c3ccc(C(=O)NC)cc3F,RNU6-1099P,up
BRD-FBDF768A_NBL1_LNCaP,BRD-FBDF768A,Enzalutamide,CC1(C)C(=O)N(c2ccc(C#N)cc2C(F)(F)F)C(=S)N1c3ccc(C(=O)NC)cc3F,NBL1,down
